submissionId	country	date	genotype	season	switchseason	switch	seltype
MZ515730.1	Netherlands	2018-01-02	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP377287.1	Netherlands	2018-01-02	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP376955.1	Netherlands	2018-01-02	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515886.1	Netherlands	2018-01-03	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515674.1	Netherlands	2018-01-03	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515770.1	Netherlands	2018-01-03	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP376790.1	Netherlands	2018-01-04	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ516089.1	Netherlands	2018-01-04	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515785.1	Netherlands	2018-01-05	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515714.1	Netherlands	2018-01-05	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515869.1	Netherlands	2018-01-05	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515683.1	Netherlands	2018-01-05	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ516115.1	Netherlands	2018-01-05	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515831.1	Netherlands	2018-01-05	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP377114.1	Netherlands	2018-01-05	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP377464.1	Netherlands	2018-01-07	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP377129.1	Netherlands	2018-01-07	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515792.1	Netherlands	2018-01-08	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515587.1	Netherlands	2018-01-08	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515733.1	Netherlands	2018-01-08	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP377147.1	Netherlands	2018-01-09	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515977.1	Netherlands	2018-01-09	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515670.1	Netherlands	2018-01-09	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515808.1	Netherlands	2018-01-10	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515562.1	Netherlands	2018-01-10	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
