"name"	"date"	"continent"	"country"	"region"	"agestr"	"specimen"	"age"	"agecat"
"hRSV/B/Netherlands/un-DP-UU02-0068-V01/2018"	2018-12-17	"Europe"	"Netherlands"	NA	"18 days"	"Nasopharyngeal swab"	0.049	"Infants"
"hRSV/B/United Kingdom/DP-OX02-8541-V01/2019"	2019-12-10	"Europe"	"United Kingdom"	NA	"174 days"	"Nasopharyngeal swab"	0.477	"Infants"
"hRSV/B/United Kingdom/DP-OX02-8813-D02/2018"	2018-10-25	"Europe"	"United Kingdom"	NA	"264 days"	"Nasopharyngeal swab"	0.723	"Infants"
"hRSV/B/United Kingdom/DP-OX01A-8052-V02/2018"	2018-11-30	"Europe"	"United Kingdom"	NA	"208 days"	"Nasopharyngeal swab"	0.57	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0084-V01/2018"	2018-12-07	"Europe"	"Netherlands"	NA	"219 days"	"Nasopharyngeal swab"	0.6	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0051-D02/2018"	2018-03-28	"Europe"	"Netherlands"	NA	"77 days"	"Nasopharyngeal swab"	0.211	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0028-D05/2018"	2018-01-04	"Europe"	"Netherlands"	NA	"42 days"	"Nasopharyngeal swab"	0.115	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0044-D08/2018"	2018-02-02	"Europe"	"Netherlands"	NA	"43 days"	"Nasopharyngeal swab"	0.118	"Infants"
"hRSV/B/Spain/un-DP-SE02-0050-D03/2019"	2019-01-01	"Europe"	"Spain"	NA	"65 days"	"Nasopharyngeal swab"	0.178	"Infants"
"hRSV/B/Netherlands/un-DP-UU03-0022-V02/2017"	2017-12-18	"Europe"	"Netherlands"	NA	"72"	"Nasopharyngeal swab"	72	"Geriatrics"
"hRSV/B/United Kingdom/DP-OX02-8221-V01/2019"	2019-11-09	"Europe"	"United Kingdom"	NA	"19 days"	"Nasopharyngeal swab"	0.052	"Infants"
"hRSV/B/Netherlands/un-DP-UU03-0452-V02/2019"	2019-01-24	"Europe"	"Netherlands"	NA	"81"	"Nasopharyngeal swab"	81	"Geriatrics"
"hRSV/B/United Kingdom/DP-OX02-8342-V01/2018"	2018-11-28	"Europe"	"United Kingdom"	NA	"313 days"	"Nasopharyngeal swab"	0.858	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0048-D02/2018"	2018-02-09	"Europe"	"Netherlands"	NA	"39 days"	"Nasopharyngeal swab"	0.107	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0063-V01/2018"	2018-12-12	"Europe"	"Netherlands"	NA	"6 days"	"Nasopharyngeal swab"	0.016	"Infants"
"hRSV/B/United Kingdom/DP-OX02-8516-V01/2018"	2018-11-05	"Europe"	"United Kingdom"	NA	"22 days"	"Nasopharyngeal swab"	0.06	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0037-V01/2018"	2018-01-10	"Europe"	"Netherlands"	NA	"85 days"	"Nasopharyngeal swab"	0.233	"Infants"
"hRSV/B/Netherlands/un-DP-UU03-0408-V02/2019"	2019-01-15	"Europe"	"Netherlands"	NA	"89"	"Nasopharyngeal swab"	89	"Geriatrics"
"hRSV/B/Spain/un-DP-SE02-0051-D03/2019"	2019-01-19	"Europe"	"Spain"	NA	"19 days"	"Nasopharyngeal swab"	0.052	"Infants"
"hRSV/B/United Kingdom/DP-OX02-8301-V01/2018"	2018-11-14	"Europe"	"United Kingdom"	NA	"151 days"	"Nasopharyngeal swab"	0.414	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0039-D10/2018"	2018-01-24	"Europe"	"Netherlands"	NA	"26 days"	"Nasopharyngeal swab"	0.071	"Infants"
"hRSV/B/United Kingdom/DP-OX03-0015-V02/2017"	2017-12-19	"Europe"	"United Kingdom"	NA	"86"	"Nasopharyngeal swab"	86	"Geriatrics"
"hRSV/B/United Kingdom/DP-OX02-8945-V01/2019"	2019-11-06	"Europe"	"United Kingdom"	NA	"181 days"	"Nasopharyngeal swab"	0.496	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0089-V01/2018"	2018-12-18	"Europe"	"Netherlands"	NA	"157 days"	"Nasopharyngeal swab"	0.43	"Infants"
"hRSV/B/United Kingdom/DP-OX02-8304-D02/2018"	2018-11-20	"Europe"	"United Kingdom"	NA	"132 days"	"Nasopharyngeal swab"	0.362	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0028-D12/2018"	2018-01-11	"Europe"	"Netherlands"	NA	"42 days"	"Nasopharyngeal swab"	0.115	"Infants"
"hRSV/B/Netherlands/un-DP-UU03-0037-V02/2017"	2017-12-04	"Europe"	"Netherlands"	NA	"74"	"Nasopharyngeal swab"	74	"Geriatrics"
"hRSV/B/Spain/un-DP-SE01A-0102-V02/2019"	2019-12-19	"Europe"	"Spain"	NA	"321 days"	"Nasopharyngeal swab"	0.879	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0005-V01/2017"	2017-11-17	"Europe"	"Netherlands"	NA	"194 days"	"Nasopharyngeal swab"	0.532	"Infants"
