sample	target	n	MAFmean	MAFstd
Yale-RSV-0056	RSVB	445	0.013215644943820225	0.056870232217740894
Yale-RSV-0057	RSVB	457	0.013046214442013128	0.0560794777636862
Yale-RSV-0058	RSVB	375	0.018659501333333335	0.06604250348674041
Yale-RSV-0059	RSVB	445	0.016344887640449435	0.062244756563501036
Yale-RSV-0060	RSVB	434	0.01936110138248848	0.07133781213162077
Yale-RSV-0061	RSVA	614	0.0158592671009772	0.06377688205568065
Yale-RSV-0063	RSVB	375	0.030778821333333335	0.08069887485056487
Yale-RSV-0064	RSVB	452	0.01353403539823009	0.05476141463161363
Yale-RSV-0065	RSVB	418	0.013735033492822962	0.058895852716369795
Yale-RSV-0066	RSVB	419	0.01889096658711217	0.06969585345421782
Yale-RSV-0067	RSVB	408	0.01646747549019608	0.05424885794343021
Yale-RSV-0068	RSVB	445	0.014307959550561794	0.0592644854952473
Yale-RSV-0070	RSVA	1097	0.010323006381039201	0.040132704012317534
Yale-RSV-0070	RSVB	470	0.01393316595744681	0.05775741326725265
Yale-RSV-0071	RSVA	816	0.04301379656862745	0.10769176530739764
Yale-RSV-0071	RSVB	387	0.030877961240310076	0.08404260658981495
Yale-RSV-0072	RSVB	153	0.09651864052287581	0.14732352785132705
Yale-RSV-0073	RSVB	360	0.017124669444444445	0.06822295843489265
Yale-RSV-0074	RSVB	445	0.013786422471910111	0.05773492206196605
Yale-RSV-0075	RSVA	560	0.0131532875	0.054089934096526425
Yale-RSV-0076	RSVA	602	0.012653249169435214	0.05243658973432673
Yale-RSV-0079	RSVB	223	0.023910260089686098	0.07711664974005451
Yale-RSV-0080	RSVB	411	0.020990364963503653	0.0762490544608828
Yale-RSV-0081	RSVB	393	0.016091145038167935	0.062303493057657214
Yale-RSV-0082	RSVB	395	0.011322182278481013	0.04946004443692636
Yale-RSV-0083	RSVB	341	0.014901633431085042	0.06087113654485426
Yale-RSV-0084	RSVB	448	0.014402361607142861	0.058186847417235475
Yale-RSV-0085	RSVA	573	0.013922968586387436	0.058366652237306006
Yale-RSV-0086	RSVB	450	0.014755484444444446	0.058937796189694545
Yale-RSV-0087	RSVB	452	0.013278650442477878	0.04821941949336025
Yale-RSV-0088	RSVA	22	0.007477818181818177	0.019263890811657528
Yale-RSV-0089	RSVB	460	0.011276323913043477	0.05233003164720696
Yale-RSV-0090	RSVB	393	0.017027671755725192	0.0678141343498464
Yale-RSV-0091	RSVB	446	0.012484975336322871	0.0555462020136882
Yale-RSV-0092	RSVB	287	0.020051156794425085	0.07215063705862088
Yale-RSV-0093	RSVB	244	0.01931637704918033	0.06722624558230082
Yale-RSV-0094	RSVB	449	0.01845058797327394	0.06473133214040458
Yale-RSV-0095	RSVB	439	0.011340207289293852	0.05227099277850518
Yale-RSV-0096	RSVB	438	0.014659627853881283	0.06178007088417646
Yale-RSV-0097	RSVA	649	0.016432796610169487	0.06837424640812012
Yale-RSV-0098	RSVB	167	0.023516730538922156	0.07893770909031346
Yale-RSV-0099	RSVB	416	0.015471223557692308	0.05991646726255313
Yale-RSV-0100	RSVB	373	0.022905828418230564	0.07806706797437465
Yale-RSV-0101	RSVB	457	0.01719370240700219	0.06297056578382419
Yale-RSV-0102	RSVB	115	0.02936889565217391	0.08344155925213532
Yale-RSV-0103	RSVB	185	0.06651212972972972	0.11462380455691848
Yale-RSV-0104	RSVB	48	0.015799770833333334	0.06796675805791984
Yale-RSV-0105	RSVB	36	0.008738361111111108	0.026862096933520905
Yale-RSV-0106	RSVB	136	0.010219897058823525	0.03822451713761913
Yale-RSV-0107	RSVB	240	0.03618089583333333	0.09593693368077075
Yale-RSV-0108	RSVA	1165	0.036387491845493565	0.08494665022021192
Yale-RSV-0108	RSVB	444	0.01306815990990991	0.05201116686547233
Yale-RSV-0109	RSVA	1227	0.030444745721271392	0.0847941029305495
Yale-RSV-0109	RSVB	434	0.01511034792626728	0.057942078984371065
Yale-RSV-0110	RSVA	1187	0.0136890749789385	0.048450929924060054
Yale-RSV-0110	RSVB	460	0.015381839130434786	0.05971824521851276
Yale-RSV-0112	RSVB	398	0.016582216080402012	0.06114596560610368
Yale-RSV-0114	RSVB	378	0.017442291005291006	0.06627243156556656
Yale-RSV-0115	RSVB	418	0.016778294258373204	0.059477305199711956
Yale-RSV-0116	RSVA	1101	0.013627618528610354	0.05075276472580118
Yale-RSV-0116	RSVB	442	0.022488031674208143	0.07549313668769395
Yale-RSV-0117	RSVB	372	0.02425644892473118	0.0829571588469106
Yale-RSV-0118	RSVA	656	0.013783204268292682	0.058006713130670184
Yale-RSV-0119	RSVB	162	0.02102870987654321	0.0714696862332679
Yale-RSV-0120	RSVB	247	0.0176402995951417	0.06542692345929849
Yale-RSV-0121	RSVA	638	0.013437087774294672	0.059880084219047315
Yale-RSV-0122	RSVB	416	0.017954908653846156	0.0698247184316838
Yale-RSV-0123	RSVB	432	0.019730506944444445	0.07006849088393223
Yale-RSV-0124	RSVB	216	0.04283168055555556	0.10642368192594273
Yale-RSV-0125	RSVB	329	0.02299403039513678	0.07942948120083905
Yale-RSV-0126	RSVB	463	0.02739064794816415	0.07782163821900746
Yale-RSV-0127	RSVB	294	0.019822173469387753	0.07251116679994843
Yale-RSV-0128	RSVB	328	0.02073348475609756	0.07634164998393002
Yale-RSV-0129	RSVB	406	0.01790084482758621	0.07087623708567806
Yale-RSV-0130	RSVB	385	0.016996961038961037	0.06625671174163099
Yale-RSV-0133	RSVA	604	0.021923453642384107	0.07347473665067969
Yale-RSV-0134	RSVB	47	0.04615212765957448	0.10400176347723464
Yale-RSV-0135	RSVB	163	0.014632006134969327	0.060841439219417606
Yale-RSV-0136	RSVA	654	0.014574125382262998	0.06373203135732183
Yale-RSV-0137	RSVB	324	0.024535638888888885	0.08054830657097166
Yale-RSV-0138	RSVB	455	0.015435147252747253	0.06051449709010711
Yale-RSV-0139	RSVB	431	0.015341290023201856	0.061878050795782666
Yale-RSV-0140	RSVA	598	0.010865740802675586	0.04710726467091089
Yale-RSV-0141	RSVB	404	0.01742229207920792	0.06747101134994533
Yale-RSV-0142	RSVA	574	0.010981170731707316	0.044064662259384525
Yale-RSV-0144	RSVB	86	0.048951162790697667	0.11775129309951753
Yale-RSV-0145	RSVB	240	0.019653733333333333	0.06702989580005514
Yale-RSV-0146	RSVA	1042	0.018506120921305186	0.059050397285994455
Yale-RSV-0146	RSVB	411	0.01808434306569343	0.06824220035837615
Yale-RSV-0147	RSVA	619	0.012697434571890145	0.05406809577889258
Yale-RSV-0149	RSVB	346	0.027569306358381503	0.09045585573846689
Yale-RSV-0150	RSVB	374	0.016414842245989304	0.06048521721143484
Yale-RSV-0151	RSVB	31	0.011303225806451607	0.03386214249542761
Yale-RSV-0152	RSVA	1072	0.013792003731343285	0.049053887546768045
Yale-RSV-0152	RSVB	429	0.01554948717948718	0.062306921743438264
Yale-RSV-0153	RSVB	393	0.017681916030534352	0.06865386382470988
Yale-RSV-0154	RSVB	436	0.018490954128440366	0.06948619207773989
Yale-RSV-0155	RSVA	937	0.015399154749199572	0.06080242768867101
Yale-RSV-0155	RSVB	427	0.01750395550351288	0.06645453039520566
Yale-RSV-0156	RSVB	436	0.015735291284403673	0.06179668674509405
Yale-RSV-0157	RSVB	394	0.01850309644670051	0.06899449891797409
Yale-RSV-0160	RSVA	623	0.014621841091492779	0.06294022964552654
Yale-RSV-0161	RSVA	681	0.01086347430249633	0.04566287097154988
Yale-RSV-0161	RSVB	1008	0.014384304563492064	0.05147882526328747
Yale-RSV-0162	RSVB	193	0.01643013989637306	0.05958886535422775
Yale-RSV-0163	RSVB	87	0.03306208045977012	0.09184037147317436
Yale-RSV-0164	RSVA	1069	0.013448663236669788	0.048442935338252474
Yale-RSV-0164	RSVB	425	0.015485385882352942	0.05987038630589236
Yale-RSV-0166	RSVB	289	0.025527574394463667	0.08154604511019141
Yale-RSV-0167	RSVA	1050	0.013754099047619048	0.05245236313325475
Yale-RSV-0167	RSVB	417	0.015221215827338132	0.06054316936203807
Yale-RSV-0168	RSVB	172	0.022734877906976744	0.07372902769282169
Yale-RSV-0169	RSVA	910	0.04800617692307692	0.12206616202649018
Yale-RSV-0169	RSVB	476	0.14213871218487395	0.19262225282157316
Yale-RSV-0170	RSVB	417	0.016047443645083932	0.06392969172501231
Yale-RSV-0171	RSVB	379	0.017037335092348286	0.06415883623527366
Yale-RSV-0172	RSVB	128	0.030325929687500003	0.09033190596984336
Yale-RSV-0173	RSVB	456	0.014873429824561402	0.057381247269100884
Yale-RSV-0175	RSVA	1199	0.015612919099249374	0.056206058438478035
Yale-RSV-0175	RSVB	461	0.01618923427331887	0.05808971436925401
Yale-RSV-0176	RSVA	1093	0.014440548947849956	0.053871870314887126
Yale-RSV-0176	RSVB	442	0.01793565158371041	0.06554096603048659
Yale-RSV-0177	RSVB	426	0.016710579812206573	0.06484705377801608
Yale-RSV-0178	RSVB	402	0.026892587064676617	0.08971963283661942
Yale-RSV-0179	RSVA	610	0.013033721311475411	0.05920568110653215
Yale-RSV-0180	RSVB	453	0.015731222958057393	0.06138426459737345
Yale-RSV-0181	RSVA	1084	0.01549508487084871	0.05779177871501644
Yale-RSV-0181	RSVB	415	0.02212770361445783	0.07286577855002854
Yale-RSV-0182	RSVB	283	0.06352812014134275	0.125364777412225
Yale-RSV-0183	RSVA	996	0.014223166666666669	0.05663269479249269
Yale-RSV-0183	RSVB	405	0.015241525925925927	0.060739558119620674
Yale-RSV-0184	RSVA	621	0.00977482769726248	0.042796821673037964
Yale-RSV-0185	RSVB	320	0.021422615624999995	0.0739200463898749
Yale-RSV-0186	RSVB	369	0.01986332791327913	0.07292034648272869
Yale-RSV-0187	RSVA	678	0.012432957227138643	0.050789548222684035
Yale-RSV-0188	RSVB	394	0.017725789340101526	0.06862213582733437
Yale-RSV-0189	RSVA	542	0.01784702398523985	0.07494935951631042
Yale-RSV-0191	RSVA	137	0.01734056934306569	0.05898326149672559
Yale-RSV-0191	RSVB	53	0.04080924528301887	0.11889302918313807
Yale-RSV-0192	RSVA	25	0.0037196399999999976	0.006175757577550044
Yale-RSV-0193	RSVB	387	0.012071979328165375	0.054319101933383546
Yale-RSV-0194	RSVB	376	0.009691922872340424	0.04262754524185078
Yale-RSV-0195	RSVB	417	0.013315359712230216	0.06127285560456282
Yale-RSV-0196	RSVB	381	0.01556227034120735	0.05745978993886796
Yale-RSV-0197	RSVB	325	0.013558892307692309	0.058870052968046385
Yale-RSV-0198	RSVA	862	0.03925789791183295	0.0974399291327359
Yale-RSV-0198	RSVB	377	0.01547972679045093	0.060810220576660245
Yale-RSV-0199	RSVA	970	0.00931861443298969	0.039892880313286444
Yale-RSV-0199	RSVB	434	0.01131484792626728	0.048734380294539054
Yale-RSV-0200	RSVB	411	0.013354024330900246	0.05582889319785024
Yale-RSV-0201	RSVB	397	0.013756299748110833	0.058040761869284564
Yale-RSV-0202	RSVB	240	0.014962304166666671	0.05858769910924531
Yale-RSV-0203	RSVA	797	0.04255616813048934	0.10353332812345217
Yale-RSV-0203	RSVB	378	0.016745685185185186	0.06050096971447108
Yale-RSV-0204	RSVB	441	0.02344689342403628	0.07301042944000272
Yale-RSV-0205	RSVA	995	0.01347978190954774	0.05127677101350183
Yale-RSV-0205	RSVB	418	0.012109373205741628	0.05180709280004775
Yale-RSV-0206	RSVB	374	0.012437427807486629	0.0550751052680154
Yale-RSV-0207	RSVA	996	0.012466568273092372	0.04387175521584418
Yale-RSV-0207	RSVB	412	0.013155497572815537	0.05547064959068134
Yale-RSV-0208	RSVA	605	0.013759449586776856	0.0592211939879393
Yale-RSV-0209	RSVB	388	0.015253920103092783	0.05727363885385732
Yale-RSV-0210	RSVB	427	0.014213718969555035	0.06089392118262672
Yale-RSV-0211	RSVB	397	0.01653826700251889	0.062471012393662484
Yale-RSV-0212	RSVA	1069	0.011896832553788587	0.05141970303991042
Yale-RSV-0212	RSVB	428	0.013924060747663551	0.05404458183439281
Yale-RSV-0213	RSVB	352	0.013364488636363636	0.05609493915738831
Yale-RSV-0215	RSVB	456	0.016373798245614034	0.059654707235752856
Yale-RSV-0216	RSVA	747	0.07916159973226239	0.12970433942634002
Yale-RSV-0216	RSVB	1212	0.22797263366336637	0.15924764336601496
Yale-RSV-0217	RSVA	916	0.011378926855895196	0.04810642533558709
Yale-RSV-0217	RSVB	373	0.01903030831099196	0.07031201999041974
Yale-RSV-0218	RSVB	420	0.02488766666666667	0.08637412816639237
Yale-RSV-0219	RSVB	371	0.01267681940700809	0.052238534948903764
Yale-RSV-0220	RSVB	441	0.0146368820861678	0.05966269690259238
Yale-RSV-0221	RSVA	632	0.013984773734177211	0.05899575035484579
Yale-RSV-0223	RSVB	378	0.013421994708994708	0.05798049492465715
Yale-RSV-0224	RSVB	194	0.019724695876288657	0.06860013442799623
Yale-RSV-0225	RSVB	372	0.014478395161290323	0.0574013678133964
Yale-RSV-0226	RSVB	415	0.015234414457831321	0.06016503147933968
Yale-RSV-0227	RSVB	384	0.011342559895833331	0.04743723393970382
Yale-RSV-0228	RSVA	626	0.013001867412140577	0.057858757786015354
Yale-RSV-0229	RSVB	405	0.0162979012345679	0.05827585179974008
Yale-RSV-0230	RSVB	396	0.012546204545454544	0.052895214464415724
Yale-RSV-0231	RSVA	590	0.010324610169491525	0.044356283410245424
Yale-RSV-0232	RSVB	253	0.019580264822134385	0.07988011214912862
Yale-RSV-0233	RSVB	387	0.014761824289405683	0.06071287759154338
Yale-RSV-0234	RSVB	250	0.015853195999999996	0.06745790483214664
Yale-RSV-0236	RSVB	401	0.011853476309226932	0.048319258556294736
Yale-RSV-0237	RSVA	622	0.011596683279742767	0.054052635729314825
Yale-RSV-0238	RSVB	435	0.013692305747126437	0.05619659494064059
Yale-RSV-0239	RSVB	404	0.01271731930693069	0.05179677888913412
Yale-RSV-0240	RSVB	117	0.017551547008547008	0.06847882600564932
Yale-RSV-0241	RSVA	1017	0.009259513274336283	0.0403489992598787
Yale-RSV-0241	RSVB	413	0.01615388619854722	0.06110355874596408
Yale-RSV-0242	RSVB	299	0.010447384615384614	0.046520220035416004
Yale-RSV-0243	RSVB	390	0.011294938461538463	0.04971946030111081
Yale-RSV-0244	RSVA	837	0.07613873596176822	0.11607560176438848
Yale-RSV-0244	RSVB	1232	0.2294930487012987	0.16625388321737666
Yale-RSV-0245	RSVB	283	0.031671505300353356	0.09818101681202825
Yale-RSV-0246	RSVB	409	0.01597206356968215	0.06133604083041917
Yale-RSV-0247	RSVB	91	0.026306626373626376	0.08834481921459149
Yale-RSV-0248	RSVB	381	0.015960776902887143	0.06190149287618269
Yale-RSV-0249	RSVB	400	0.0132996975	0.05924040061265506
Yale-RSV-0250	RSVB	212	0.015310966981132074	0.05898417073393099
Yale-RSV-0251	RSVA	618	0.011890419093851134	0.05004095977905015
Yale-RSV-0252	RSVA	643	0.00917201244167963	0.0436836764368964
Yale-RSV-0253	RSVB	392	0.009952219387755102	0.04034207576382061
Yale-RSV-0254	RSVA	594	0.01173758754208754	0.05324607697629795
Yale-RSV-0255	RSVA	896	0.00975025111607143	0.04433574049579025
Yale-RSV-0255	RSVB	354	0.015633285310734466	0.06081741906505266
Yale-RSV-0256	RSVB	294	0.018186374149659863	0.06964280551849933
Yale-RSV-0257	RSVB	431	0.017774951276102086	0.06612906217337562
Yale-RSV-0258	RSVA	1339	0.20953045257654968	0.176321488801115
Yale-RSV-0258	RSVB	799	0.18294940175219024	0.16704378517955348
