sample	target	n	MAFmean	MAFstd
Yale-RSV-0314	RSVA	35	0.2311536	0.12783447863872754
Yale-RSV-0315	RSVB	30	0.21864363333333334	0.13689241684735204
Yale-RSV-0317	RSVA	70	0.17330962857142856	0.11316542766172027
Yale-RSV-0317	RSVB	30	0.21631403333333335	0.11131202369217408
Yale-RSV-0318	RSVB	39	0.20273812820512818	0.1200900666829034
Yale-RSV-0319	RSVB	30	0.1925963	0.12233700885813406
Yale-RSV-0320	RSVB	37	0.2159567027027027	0.12239619536113604
Yale-RSV-0321	RSVB	36	0.21730319444444446	0.11305719422861522
Yale-RSV-0322	RSVB	43	0.21464746511627908	0.1334912076374051
Yale-RSV-0323	RSVB	50	0.18390572	0.11787105220779635
Yale-RSV-0324	RSVB	29	0.21629106896551722	0.12779105737490035
Yale-RSV-0325	RSVB	36	0.2048993888888889	0.1269912148170163
Yale-RSV-0326	RSVB	31	0.17713354838709677	0.12466234070235185
Yale-RSV-0327	RSVA	55	0.16016439999999998	0.10566136681672153
Yale-RSV-0327	RSVB	29	0.1896269655172414	0.11544964164903944
Yale-RSV-0328	RSVB	15	0.21953133333333333	0.16679173494368305
Yale-RSV-0329	RSVA	69	0.16398714492753624	0.11747931233353828
Yale-RSV-0329	RSVB	28	0.20903564285714288	0.12322601424519343
Yale-RSV-0330	RSVA	28	0.1973069642857143	0.1302242620281507
Yale-RSV-0331	RSVB	25	0.22095476000000003	0.1253390726227859
Yale-RSV-0333	RSVB	31	0.22890158064516128	0.1407692129344515
Yale-RSV-0335	RSVB	64	0.274869296875	0.12037948021848396
Yale-RSV-0336	RSVA	79	0.32975613924050634	0.12655396477906522
Yale-RSV-0336	RSVB	91	0.2444677142857143	0.10279459769671057
Yale-RSV-0338	RSVB	25	0.23886848	0.13791196718472257
Yale-RSV-0339	RSVA	56	0.1824898392857143	0.13289050724737494
Yale-RSV-0339	RSVB	30	0.19074353333333333	0.12327453058777706
Yale-RSV-0340	RSVB	27	0.16467474074074073	0.10297397628661503
Yale-RSV-0341	RSVB	24	0.22950574999999998	0.13823287825740332
Yale-RSV-0342	RSVA	68	0.2048830882352941	0.13779772122454953
Yale-RSV-0342	RSVB	38	0.24604773684210526	0.15295906704518789
Yale-RSV-0343	RSVB	29	0.2190940344827586	0.12825245833385548
Yale-RSV-0345	RSVA	69	0.19619866666666666	0.12351354007827105
Yale-RSV-0345	RSVB	36	0.20891808333333334	0.1298237359460621
Yale-RSV-0346	RSVA	31	0.2541176774193548	0.1541993990328512
Yale-RSV-0347	RSVA	43	0.16942013953488372	0.12651515684834375
Yale-RSV-0347	RSVB	24	0.2212569166666667	0.12169320012188764
Yale-RSV-0350	RSVB	28	0.19340803571428572	0.11904811410470796
Yale-RSV-0351	RSVB	32	0.1926504375	0.11358297446784757
Yale-RSV-0352	RSVA	67	0.16658213432835822	0.11184641100646518
Yale-RSV-0352	RSVB	29	0.19641779310344828	0.12979680586026413
Yale-RSV-0353	RSVB	64	0.205612515625	0.12250862526071214
Yale-RSV-0354	RSVA	669	0.2780868355754858	0.13022976995419752
Yale-RSV-0354	RSVB	370	0.25816724324324325	0.12067266242272934
Yale-RSV-0355	RSVA	80	0.19746887500000002	0.12701981795641332
Yale-RSV-0355	RSVB	42	0.21222207142857144	0.1265536345301851
Yale-RSV-0356	RSVB	31	0.18217664516129034	0.12060646958090554
Yale-RSV-0357	RSVB	26	0.22321930769230772	0.12194882061578757
Yale-RSV-0358	RSVB	47	0.17647078723404255	0.1301395372627156
Yale-RSV-0359	RSVB	34	0.19962664705882352	0.14135229616809508
Yale-RSV-0360	RSVB	49	0.19529173469387756	0.13156920999353908
Yale-RSV-0361	RSVA	32	0.24932278125000001	0.15881335502888683
Yale-RSV-0362	RSVB	34	0.22390338235294116	0.1374964224332411
Yale-RSV-0363	RSVA	71	0.18434012676056338	0.13370532123270504
Yale-RSV-0363	RSVB	36	0.21199272222222224	0.1366876478638403
Yale-RSV-0364	RSVB	33	0.17893015151515151	0.12719263404948053
