sample	name	start	end	depth
Yale-RSV-0007	Amplicon 16	4654	5055	15434
Yale-RSV-0007	Amplicon 17	4967	5376	25942
Yale-RSV-0007	Amplicon 18	5203	5606	47107
Yale-RSV-0007	Amplicon 19	5503	5886	80106
Yale-RSV-0007	Amplicon 20	5782	6186	115120
Yale-RSV-0007	Amplicon 21	6064	6466	52901
Yale-RSV-0007	Amplicon 22	6377	6783	79149
Yale-RSV-0007	Amplicon 23	6680	7068	26762
Yale-RSV-0007	Amplicon 24	6979	7376	44860
Yale-RSV-0007	Amplicon 25	7273	7701	9882
Yale-RSV-0007	Amplicon 26	7627	7965	33367
Yale-RSV-0007	Amplicon 27	7862	8262	39984
Yale-RSV-0007	Amplicon 28	8160	8574	59867
Yale-RSV-0007	Amplicon 29	8469	8877	43910
Yale-RSV-0007	Amplicon 30	8748	9155	40663
Yale-RSV-0007	Amplicon 31	9061	9467	46264
Yale-RSV-0007	Amplicon 32	9350	9754	80209
Yale-RSV-0007	Amplicon 33	9661	10226	26268
Yale-RSV-0007	Amplicon 34	9977	10382	32383
Yale-RSV-0007	Amplicon 35	10265	10670	24600
Yale-RSV-0007	Amplicon 36	10566	10978	53764
Yale-RSV-0007	Amplicon 37	10878	11285	62114
Yale-RSV-0007	Amplicon 38	11183	11587	63131
Yale-RSV-0007	Amplicon 39	11483	11880	35786
Yale-RSV-0007	Amplicon 40	11775	12186	61786
Yale-RSV-0007	Amplicon 41	12084	12500	86724
Yale-RSV-0007	Amplicon 42	12414	12820	67084
Yale-RSV-0007	Amplicon 43	12712	13121	17179
Yale-RSV-0007	Amplicon 44	13405	13058	-1
Yale-RSV-0007	Amplicon 45	13338	13749	14111
Yale-RSV-0007	Amplicon 46	13618	14033	49011
Yale-RSV-0007	Amplicon 47	13962	14366	71490
Yale-RSV-0007	Amplicon 48	14251	14660	35316
Yale-RSV-0007	Amplicon 49	14578	14979	26344
Yale-RSV-0007	Amplicon 50	14768	15174	23481
sample	name	start	end	depth
Yale-RSV-0008	Amplicon 1	77	496	157364
Yale-RSV-0008	Amplicon 2	321	805	72256
Yale-RSV-0008	Amplicon 3	702	1115	155402
Yale-RSV-0008	Amplicon 4	943	1346	73522
Yale-RSV-0008	Amplicon 5	1226	1661	46557
Yale-RSV-0008	Amplicon 6	1546	1976	52524
Yale-RSV-0008	Amplicon 7	1867	2368	212550
Yale-RSV-0008	Amplicon 8	2236	2631	51728
Yale-RSV-0008	Amplicon 9	2541	2902	4140
Yale-RSV-0008	Amplicon 10	2762	3169	29032
Yale-RSV-0008	Amplicon 11	3085	3488	255138
Yale-RSV-0008	Amplicon 12	3398	3807	65474
Yale-RSV-0008	Amplicon 13	3722	4124	567
Yale-RSV-0008	Amplicon 14	4407	4056	-1
Yale-RSV-0008	Amplicon 15	4323	4735	155803
Yale-RSV-0008	Amplicon 16	4654	5055	46864
Yale-RSV-0008	Amplicon 17	4967	5376	217272
Yale-RSV-0008	Amplicon 18	5203	5606	142818
Yale-RSV-0008	Amplicon 19	5503	5886	200617
Yale-RSV-0008	Amplicon 20	5782	6186	56601
Yale-RSV-0008	Amplicon 21	6064	6466	91005
Yale-RSV-0008	Amplicon 22	6377	6783	158559
Yale-RSV-0008	Amplicon 23	6680	7068	368255
Yale-RSV-0008	Amplicon 24	6979	7376	40125
Yale-RSV-0008	Amplicon 25	7273	7701	52139
Yale-RSV-0008	Amplicon 26	7627	7965	140533
Yale-RSV-0008	Amplicon 27	7862	8262	289570
Yale-RSV-0008	Amplicon 28	8160	8574	28138
Yale-RSV-0008	Amplicon 29	8469	8877	18350
Yale-RSV-0008	Amplicon 30	8748	9155	35383
Yale-RSV-0008	Amplicon 31	9061	9467	131011
Yale-RSV-0008	Amplicon 32	9350	9754	16569
Yale-RSV-0008	Amplicon 33	9661	10226	536
Yale-RSV-0008	Amplicon 34	9977	10382	99028
Yale-RSV-0008	Amplicon 35	10265	10670	198481
Yale-RSV-0008	Amplicon 36	10566	10978	88935
Yale-RSV-0008	Amplicon 37	10878	11285	267214
Yale-RSV-0008	Amplicon 38	11183	11587	58577
Yale-RSV-0008	Amplicon 39	11483	11880	113103
Yale-RSV-0008	Amplicon 40	11775	12186	65067
Yale-RSV-0008	Amplicon 41	12084	12500	140795
Yale-RSV-0008	Amplicon 42	12414	12820	64570
Yale-RSV-0008	Amplicon 43	12712	13121	119193
Yale-RSV-0008	Amplicon 44	13405	13058	-1
Yale-RSV-0008	Amplicon 45	13338	13749	194
Yale-RSV-0008	Amplicon 46	13618	14033	47604
Yale-RSV-0008	Amplicon 47	13962	14366	191154
Yale-RSV-0008	Amplicon 48	14251	14660	107429
Yale-RSV-0008	Amplicon 49	14578	14979	311919
Yale-RSV-0008	Amplicon 50	14768	15174	123298
sample	name	start	end	depth
Yale-RSV-0020	Amplicon 1	77	496	137163
Yale-RSV-0020	Amplicon 2	321	805	84945
Yale-RSV-0020	Amplicon 3	702	1115	26349
Yale-RSV-0020	Amplicon 4	943	1346	40633
Yale-RSV-0020	Amplicon 5	1226	1661	188366
Yale-RSV-0020	Amplicon 6	1546	1976	123356
Yale-RSV-0020	Amplicon 7	1867	2368	311390
Yale-RSV-0020	Amplicon 8	2236	2631	102369
Yale-RSV-0020	Amplicon 9	2541	2902	37107
Yale-RSV-0020	Amplicon 10	2762	3169	76470
Yale-RSV-0020	Amplicon 11	3085	3488	261193
Yale-RSV-0020	Amplicon 12	3398	3807	136658
Yale-RSV-0020	Amplicon 13	3722	4124	144877
Yale-RSV-0020	Amplicon 14	4407	4056	-1
Yale-RSV-0020	Amplicon 15	4323	4735	168585
Yale-RSV-0020	Amplicon 16	4654	5055	96736
Yale-RSV-0020	Amplicon 17	4967	5376	356290
Yale-RSV-0020	Amplicon 18	5203	5606	267693
Yale-RSV-0020	Amplicon 19	5503	5886	90653
Yale-RSV-0020	Amplicon 20	5782	6186	236338
Yale-RSV-0020	Amplicon 21	6064	6466	471984
Yale-RSV-0020	Amplicon 22	6377	6783	170617
Yale-RSV-0020	Amplicon 23	6680	7068	181594
Yale-RSV-0020	Amplicon 24	6979	7376	93964
Yale-RSV-0020	Amplicon 25	7273	7701	92794
Yale-RSV-0020	Amplicon 26	7627	7965	157202
Yale-RSV-0020	Amplicon 27	7862	8262	307449
Yale-RSV-0020	Amplicon 28	8160	8574	45442
Yale-RSV-0020	Amplicon 29	8469	8877	30817
Yale-RSV-0020	Amplicon 30	8748	9155	55246
Yale-RSV-0020	Amplicon 31	9061	9467	94504
Yale-RSV-0020	Amplicon 32	9350	9754	77293
Yale-RSV-0020	Amplicon 33	9661	10226	25040
Yale-RSV-0020	Amplicon 34	9977	10382	162846
Yale-RSV-0020	Amplicon 35	10265	10670	263821
Yale-RSV-0020	Amplicon 36	10566	10978	129055
Yale-RSV-0020	Amplicon 37	10878	11285	247300
Yale-RSV-0020	Amplicon 38	11183	11587	128421
Yale-RSV-0020	Amplicon 39	11483	11880	247208
Yale-RSV-0020	Amplicon 40	11775	12186	167022
Yale-RSV-0020	Amplicon 41	12084	12500	193525
Yale-RSV-0020	Amplicon 42	12414	12820	152861
Yale-RSV-0020	Amplicon 43	12712	13121	147413
Yale-RSV-0020	Amplicon 44	13405	13058	-1
Yale-RSV-0020	Amplicon 45	13338	13749	22695
Yale-RSV-0020	Amplicon 46	13618	14033	133771
Yale-RSV-0020	Amplicon 47	13962	14366	324551
Yale-RSV-0020	Amplicon 48	14251	14660	176310
Yale-RSV-0020	Amplicon 49	14578	14979	387302
Yale-RSV-0020	Amplicon 50	14768	15174	164480
sample	name	start	end	depth
Yale-RSV-0026	Amplicon 1	77	496	12922
Yale-RSV-0026	Amplicon 2	321	805	5713
Yale-RSV-0026	Amplicon 3	702	1115	3779
Yale-RSV-0026	Amplicon 4	943	1346	85661
Yale-RSV-0026	Amplicon 5	1226	1661	272069
Yale-RSV-0026	Amplicon 6	1546	1976	87770
Yale-RSV-0026	Amplicon 7	1867	2368	131460
Yale-RSV-0026	Amplicon 8	2236	2631	32460
Yale-RSV-0026	Amplicon 9	2541	2902	23900
Yale-RSV-0026	Amplicon 10	2762	3169	86260
Yale-RSV-0026	Amplicon 11	3085	3488	153820
Yale-RSV-0026	Amplicon 12	3398	3807	66505
